LINK_ID,geometry
1220020300,"LINESTRING (127.09695379723915 37.49285917154102, 127.09688608968614 37.492967347911524, 127.09670554687483 37.4932648280935, 127.09666040804565 37.49333694557921, 127.09644590473565 37.49360742292494, 127.09640071912906 37.49364350007523, 127.09620872604616 37.49383286800127, 127.0960279823595 37.493977176130784, 127.09601668585601 37.493986195379605, 127.09574553445064 37.494175626851806, 127.09558733632792 37.49426585562534, 127.0953726431768 37.49439217007379, 127.09513535592001 37.4945365224594, 127.09486416610856 37.49469892172599, 127.09466069906118 37.49476215539572, 127.09412943053945 37.49493377114351, 127.09360946779107 37.4951053755407, 127.09308950265923 37.49527697764757, 127.09256953514394 37.49544857746409, 127.09203825695823 37.49562018380079, 127.09151829564497 37.495800789042896, 127.09099832089113 37.49597238193822, 127.09093049269677 37.49599045429414)"
1220022100,"LINESTRING (127.09041051527859 37.49616204460024, 127.08989054627664 37.49634264267151, 127.08937056402951 37.496514228396286, 127.08885057939912 37.4966858118304, 127.08856798522793 37.49678513472986, 127.08833060299784 37.49686640302914, 127.0878106135387 37.4970379818817, 127.08727931316824 37.49720956679879, 127.08675931891678 37.49738114101998, 127.08623932228227 37.49755271295029, 127.08571932326468 37.49772428258969, 127.08519932186405 37.49789584993814, 127.0846680195948 37.49807643315545, 127.08421583509859 37.4982209173584)"
1220023600,"LINESTRING (127.08368451809635 37.4983924860942, 127.08315318866829 37.49855504238433, 127.08297230876602 37.498609229930594, 127.08263316568981 37.49871758837323, 127.0821018316717 37.4988801399312, 127.08172876953424 37.49899752940265, 127.08157049534628 37.499042689097635, 127.08105046554452 37.49920522811409, 127.08051912462925 37.49936777254811, 127.08006692432765 37.499512240857044)"
1220022700,"LINESTRING (127.0794900092013 37.499359459445344, 127.07895832226112 37.499197634929885, 127.07842664703519 37.499044818068654, 127.0778949739725 37.49889199880814, 127.07736330307316 37.49873917714841, 127.07697868493666 37.49862229760491, 127.07683162510578 37.49857734303415, 127.07629995859708 37.49842451657571, 127.0757682942518 37.49827168771815, 127.07523663206997 37.498118856461495, 127.07471627172045 37.49795700559734, 127.07418461390665 37.49780416959322, 127.07393575316772 37.49773224510502, 127.07365295825647 37.497651331190156, 127.07312129598466 37.49748948033045, 127.07258964472565 37.49733663712922, 127.0720579956303 37.49718379152918, 127.0715263486987 37.49703094353033, 127.07099469540135 37.496869083073605, 127.07046305286123 37.496716230276924, 127.06993141248493 37.49656337508156, 127.06987485351793 37.4965453884188)"
1220021200,"LINESTRING (127.06934321554796 37.49639253056955, 127.06881157147488 37.49623066026121, 127.06827993789669 37.49607779761446, 127.06775961482221 37.49592492608366, 127.06722798554915 37.49577205869083, 127.0666963504274 37.495610178837715, 127.06616472554643 37.49545730664771, 127.06563310282962 37.49530443205934, 127.06510147445596 37.49514254500979, 127.06456985613144 37.49498966562448, 127.0640382399712 37.494836783840945, 127.0636989104991 37.494737856545456, 127.06351791886752 37.49466587345213, 127.06322382339707 37.494566920459654)"
1220018400,"LINESTRING (127.0627260770253 37.49434193407997, 127.06222833363779 37.494116945591855, 127.06174190126897 37.49389194908619, 127.06125547181678 37.49366695056645, 127.06085954557076 37.493486953795944, 127.06075773731428 37.49344195584879, 127.06027131372906 37.49321695325453, 127.0597735851612 37.49299195436819, 127.05928716744296 37.492766947699614, 127.05880075970472 37.49255094908515, 127.05851795843876 37.492415938428906, 127.05830303996206 37.49232594397043, 127.05781663096892 37.492100931214445, 127.0573302248924 37.49187591644481, 127.05683251403478 37.49165090510173, 127.05634611382524 37.491425886258355, 127.05585971653228 37.49120086540149, 127.05538463640474 37.4909848473016)"
1220014200,"LINESTRING (127.05488693728894 37.4907598277187, 127.0544005552216 37.49054381089367, 127.05390286198065 37.4903187871437, 127.05372188394679 37.490237778900465, 127.05341647918749 37.490093756174296, 127.05291879823737 37.489877738329916, 127.05243242125275 37.48965270328798, 127.05205915833616 37.48948167690419, 127.05193473982129 37.48942767120405, 127.05144837488311 37.48921164216347, 127.05095069932649 37.488986605913055, 127.05046433401742 37.48876156272623, 127.04996667039681 37.488545532384464, 127.04983094173153 37.48848251916414)"
1220012400,"LINESTRING (127.04934458304629 37.48825747134361, 127.04885822140956 37.488023411434, 127.04849628186652 37.487852369058366, 127.04837186861596 37.487798359587494, 127.04788551298776 37.48756429565117, 127.0473991660858 37.48733923977888, 127.04716164441272 37.48722220379252, 127.04691281646616 37.487105171816054, 127.04642647545583 37.48688011191818, 127.04594013184472 37.48664603992902, 127.045453796726 37.486420976005775, 127.04538593345487 37.48638496176944)"
1220010600,"LINESTRING (127.04509188349938 37.48626794330295, 127.04487700950371 37.48619594446294, 127.04470737412531 37.48614194828495, 127.04433419951395 37.48606099816929, 127.04402887735291 37.48599804177129, 127.04378010566883 37.48596209388822, 127.04322602885593 37.485890217246826, 127.04267194797751 37.485809327925004, 127.04211786829147 37.48572843600287, 127.04155248799267 37.48565655553836, 127.04134895075381 37.485629596698736)"
1220036600,"LINESTRING (127.02435837428456 37.53132427509126, 127.0246410890502 37.530936785864036, 127.02487856156728 37.53059435554569, 127.02492379789342 37.5305402859219, 127.02521782028836 37.53015279287647, 127.0253195962112 37.53001762087514, 127.0255457892204 37.529792321782494, 127.02586245403674 37.52946789229608, 127.02589638491719 37.529440854812876, 127.02629224021656 37.529116406764295, 127.02668809529695 37.528800967388555, 127.02708394378574 37.52847651665368, 127.02747978884551 37.5281520645755, 127.02766074696598 37.528007862043175, 127.02786431396443 37.527818603806125, 127.0280452637928 37.52765638064133, 127.02819225994388 37.527458125229096, 127.02838448030442 37.52718777861229)"
